# $Id: schema.dat,v 1.4 2005/08/15 19:52:31 jv Exp $
#
# Dit bestand definiëert alle vaste gegevens van een administratie (of
# groep administarties): het rekeningschema (balansrekeningen en
# resultaatrekeningen), de dagboeken en de BTW tarieven.
# 
# Algemene syntaxregels: 
# 
# * Lege regels en regels die beginnen met een hekje # worden niet
#   geïnterpreteerd.
# * Een niet-ingesprongen tekst introduceert een nieuw onderdeel. 
# * Alle ingesprongen regels zijn gegevens voor dat onderdeel.

# REKENINGSCHEMA
# 
# Het rekeningschema is hiërarchisch opgezet volgende de beproefde
# methode Bakker. De hoofdverdichtingen lopen van 1 t/m 9, de
# verdichtingen t/m 99. De grootboekrekeningen zijn verdeeld in
# balansrekeningen en resultaatrekeningen. 
# 
# De omschrijving van de grootboekrekeningen wordt voorafgegaan door een
# dubbel vlaggetje, twee letters die resp. Debet/Credit en Kosten/Omzet
# aangeven. De omschrijving wordt indien nodig gevolgd door extra
# informatie. Voor grootboekrekeningen kan op deze wijze de BTW
# tariefstelling worden aangegeven die op deze rekening van toepassing
# is:
# 
#   :btw=hoog
#   :btw=laag
# 
# Ook is het mogelijk aan te geven dat een rekening een koppeling
# (speciale betekenis) heeft met :koppeling=xxx. De volgende koppelingen
# zijn mogelijk:
# 
#   crd		de tegenrekening (Crediteuren) voor inkoopboekingen
#   deb		de tegenrekening (Debiteuren) voor verkoopboekingen
#   btw_ih	de rekening voor BTW boekingen voor inkopen, hoog tarief
#   btw_il	idem, laag tarief
#   btw_vh	idem, verkopen, hoog tarief
#   btw_vl	idem. laag tarief
#   btw_ok	rekening voor de betaalde BTW
#   winst	rekening waarop de winst wordt geboekt
# 
# Al deze koppelingen moeten éénmaal in het rekeningschema voorkomen.
#
# BELANGRIJK: Mutaties die middels de command line shell of de API
# worden uitgevoerd maken gebruik van de Debet/Credit status en het
# geassocieerde BTW tarief van de grootboekrekeningen. Wijzigingen
# hierin kunnen dus consequenties hebben voor de reeds in scripts
# vastgelegde boekingen.

Balansrekeningen

  1  Vaste Activa
     11  Immateriële vaste activa
         1750  CK  Sociaal fonds betaald
         1751  CK  Berekende premie S. Fonds
     49  Overige schulden kort
         1900  CK  Aflossingsverplichtingen
         1910  CK  Reservering vakantiegeld
         1911  CK  Reservering vakantiedagen
         1920  CK  Te betalen accountantskosten
         1921  CK  Te betalen advieskosten
         1922  CK  Te betalen autokosten
         1923  CK  Te betalen algemene kosten
         1924  CK  Te betalen personeelskosten
         1925  CK  Te betalen rente
         1926  CK  Te betalen huisvestingskosten
         1929  CK  Te betalen overige kosten
         1950  CK  Netto lonen en salarissen
         1960  CK  Pensioen verzekeringsmij.
         1990  CK  Diverse schulden kort

Resultaatrekeningen

  5  Bedrijfsopbrengsten
     51  Netto omzet
         8000  CO  Omzet advisering BTW hoog                  :btw=hoog
         8010  CO  Omzet advisering BTW vrij
         8100  CO  Omzet royalties
         8200  CO  Omzet editing                              :btw=hoog
         8300  CO  Omzet cursussen                            :btw=hoog
         8310  CO  Omzet cursuslicenties                      :btw=hoog
         8400  CO  Omzet boeken                               :btw=laag
         8600  CO  Omzet diversen BTW hoog                    :btw=hoog
         8610  CO  Omzet diversen BTW laag                    :btw=laag
         8620  CO  Omzet diversen BTW vrij
         8900  CK  Betalingskorting verkoop
         8910  CK  Korting  verkoop
         8920  CK  Prijsverschillen verkoop
     52  Kostprijs van de omzet
         7000  CK  Inkoop materiaal                           :btw=hoog
         7800  DK  Mutatie eindvoorraad
         7900  CK  Betalingskorting inkoop
         7920  CK  Prijsverschillen inkoop
     53  Overige bedrijfsopbrengst
         8680  CO  Omzet naar kosten BTW hoo                  :btw=hoog
         8690  DK  Doorbelaste omzet naar kosten
         8700  CK  Kleine ondernemersregeling
         8800  CK  Huuropbrengst
     74  Incidentele baten en lasten
         9300  CK  Winst verkoop boeken                       :btw=laag

  6  Personeelslasten
     60  Lonen en salarissen
         4000  DK  Bruto lonen
         4001  DK  Tantième
         4002  DK  Gratificaties
         4010  DK  Overhevelingstoeslag
         4020  DK  Premiespaarregeling
         4021  DK  Loonheffing spaarregeling
         4070  DK  Mutatie vakantiegeld
         4071  DK  Mutatie vakantiedagen
         4080  DK  Ontvangen ziekengeld
         4090  DK  Doorberekende salarissen
     61  Sociale lasten
         4100  DK  Bedrijfsvereniging  premies
         4101  DK  Ingehouden pr. bedr. vereniging
         4110  DK  VUT premie
         4111  DK  Ingehouden VUT premie
         4120  DK  Sociaal fonds
         4121  DK  Ingehouden sociaal fonds
         4130  DK  Pensioenpremie
         4131  DK  Ingehouden pensioenpremies
         4140  DK  Ziekteverzuimverzekering
         4150  DK  Ziektekostenverzekering
         4151  DK  Bijdrage ziektekostenverzekering
         4170  DK  Soc. lasten vakantiegeld
         4171  DK  Soc. lasten vakantiedagen
         4180  DK  Soc. lasten ontv. ziekengeld
         4190  DK  Doorberekende soc. lasten
     62  Overige personeelskosten
         4200  DK  Reiskostenvergoedingen
         4205  DK  Consultancy ingekocht
         4210  DK  Vaste reiskostenverg.
         4220  DK  Vrijgestelde vergoedingen
         4230  DK  Studiekosten
         4240  DK  Kostenvergoeding
         4250  DK  Representatie vergoeding
         4260  DK  Uitzendburo                                :btw=hoog
         4270  DK  Kantine en consumptie
         4280  DK  Bedrijfskleding personeel                  :btw=hoog
         4290  DK  Overige personeelskosten
     63  Afschrijving materiele vaste activa
         4300  DK  Afschr. kosten gebouwen
         4310  DK  Afschr. kosten verbouwing
         4320  DK  Afschr. kosten mach & ins
         4330  DK  Afschr. kosten inv. & inr
         4340  DK  Afschr. kosten computers
         4350  DK  Afschr. kosten auto's
         4360  CK  Res verkoop mat vaste act
     65  Huisvestingskosten
         4500  DK  Huur bedrijfspand                          :btw=hoog
         4510  DK  Servicekosten                              :btw=hoog
         4520  DK  Gas  water & electra
         4530  DK  Vaste lasten
         4540  DK  Onderhoud bedrijfspand                     :btw=hoog
         4550  DK  Schoonmaakkosten                           :btw=hoog
         4560  DK  Verzekering bedrijfspand
         4590  DK  Overige huisvestingskosten                 :btw=hoog
     66  Autokosten
         4600  DK  Leasekosten auto                           :btw=hoog
         4610  DK  Brandstof auto                             :btw=hoog
         4620  DK  Onderhoud auto                             :btw=hoog
         4630  DK  Verzekering auto
         4640  DK  Kilometervergoedingen
         4650  DK  Huur auto                                  :btw=hoog
         4670  DK  Boetes
         4671  DK  Boetes 0% aftrekbaar
         4680  DK  BTW privégebruik auto
         4690  DK  Overige autokosten                         :btw=hoog
     67  Verkoopkosten
         4700  DK  Reclamekosten                              :btw=hoog
         4710  DK  Advertentiekosten                          :btw=hoog
         4711  DK  Sponsoring
         4720  DK  Beurskosten                                :btw=hoog
         4730  DK  Relatiegeschenken
         4740  DK  Reis- en verblijfkosten                    :btw=hoog
         4741  DK  Reis- en verblijfk. 90%                    :btw=hoog
         4742  DK  Voedsel en drank 90%
         4750  DK  Representatiekosten                        :btw=hoog
         4751  DK  Representatiekosten 90%
         4760  DK  Credit-cardkosten
         4770  DK  Factoringkosten
         4790  DK  Overige verkoopkosten                      :btw=hoog
     68  Distributiekosten
         4810  DK  Vervoerskosten                             :btw=hoog
         4890  DK  Overige distributiekosten                  :btw=hoog
     69  Algemene kosten
         4780  DK  Kasverschillen
         4800  DK  Verzending portikosten
         4900  DK  Telefoon- en faxkosten                     :btw=hoog
         4905  DK  Internetkosten                             :btw=hoog
         4910  DK  Contributies & abonnementen
         4920  DK  Verzekering algemeen
         4930  DK  Kantoorartikelen                           :btw=hoog
         4931  DK  Computerbenodigdheden                      :btw=hoog
         4932  DK  Vakliteratuur                              :btw=laag
         4940  DK  Accountantskosten                          :btw=hoog
         4941  DK  Administratiekosten                        :btw=hoog
         4942  DK  Loonadministratiekosten                    :btw=hoog
         4943  DK  Notaris & advocaatkosten                   :btw=hoog
         4950  DK  Drukwerk & papier                          :btw=hoog
         4960  DK  Branche-organisatiekosten
         4970  DK  Postzegels
         4980  DK  Bankkosten
         4990  DK  Overige algemene kosten                    :btw=hoog
         4991  DK  Bijzondere baten & lasten

  7  Afschrijvingen
     64  Afschrijving immateriele vaste activa
         4380  DK  Afschr. kosten goodwill
         4390  DK  Afschr. kosten aanloopkosten

  9  Financiële baten & lasten
     71  Rente baten
         9000  CK  Rente bate deposito
         9040  CK  Rente bate lening u/g
         9052  CK  Rente bate Postbank
         9080  CK  Rente bate belastingen
         9090  CK  Rente bate overige
     72  Rente- en overige financielelasten
         9100  DK  Rente last hypotheek pand
         9110  DK  Rente last lening bank
         9111  DK  Rente last m.lang krediet
         9120  DK  Rente last fin. lease auto
         9140  CK  Rente last lening o/g
         9152  CK  Rente last Postbank
         9170  DK  Rente last factormaatschappij
         9180  DK  Rente last belastingen
         9190  DK  Rente last overige
     73  Opbrengst overige activa
         9200  CK  Opbrengst effecten
         9210  CK  Mutatie effecten

# DAGBOEKEN
#
# EekBoek ondersteunt vijf soorten dagboeken: Kas, Bank, Inkoop,
# Verkoop en Memoriaal. Er kunnen een in principe onbeperkt aantal
# dagboeken worden aangemaakt. Voor elk dagboek moet opgegeven worden
# van welk type het is. Voor rekeningen van het type Kas en Bank moet
# bovendien een tegenrekening worden opgegeven.

Dagboeken

   1  Kas                   :type=kas        :rekening=1000
   4  Postbank              :type=bank       :rekening=1120
   6  Inkoop                :type=inkoop
   7  Verkoop               :type=verkoop
   8  Memoriaal             :type=memoriaal

# BTW TARIEVEN
#
# Er zijn drie tariefgroepen: "hoog", "laag" en "geen". De tariefgroep
# bepaalt het rekeningnummer waarop de betreffende boeking plaatsvindt.
# Binnen elke tariefgroep zijn meerdere tarieven mogelijk, hoewel dit
# in de praktijk niet snel zal voorkomen.
# Voor elk tarief (behalve die van groep "geen") moet het percentage
# worden opgegeven. Met de aanduiding :exclusief kan worden opgegeven
# dat boekingen op rekeningen met deze tariefgroep standaard het
# bedrag exclusief BTW aangeven. 
# 
# BELANGRIJK: Mutaties die middels de command line shell of de API
# worden uitgevoerd maken gebruik van de Debet/Credit status en het
# geassocieerde BTW tarief van de grootboekrekeningen. Wijzigingen
# hierin kunnen dus consequenties hebben voor de reeds in scripts
# vastgelegde boekingen.

BTW Tarieven

   0  BTW Geen               :tariefgroep=geen
   1  BTW 19% incl.          :tariefgroep=hoog :perc=19,00
   2  BTW 19% excl.          :tariefgroep=hoog :perc=19,00 :exclusief
   3  BTW 6,0% incl.         :tariefgroep=laag :perc=6,00
   4  BTW 6,0% excl.         :tariefgroep=laag :perc=6,00 :exclusief
